customer_id,health_segment,health_score,churn_probability,clv,intervention_cost,retention_uplift_prob,expected_clv_saved,expected_net_value,expected_roi,score_confidence
TW-144768,At Risk,44.99,1.0,68496.0,20.0,0.16,10959.36,10939.36,546.9680000000001,High
TW-115888,At Risk,44.68,1.0,66954.33333333333,20.0,0.16,10712.693333333333,10692.693333333333,534.6346666666666,High
TW-117242,At Risk,44.87,1.0,66456.33333333334,20.0,0.15821428571428572,10514.341309523812,10494.341309523812,524.7170654761906,High
TW-117627,At Risk,43.55,1.0,57091.333333333336,20.0,0.1577777777777778,9007.743703703705,8987.743703703705,449.3871851851853,High
TW-115911,At Risk,43.07,1.0,54348.333333333336,20.0,0.15772727272727274,8572.214393939395,8552.214393939395,427.6107196969698,High
TW-116230,At Risk,42.06,1.0,50367.0,20.0,0.16,8058.72,8038.72,401.93600000000004,High
TW-132028,Critical,39.93,1.0,36649.0,45.0,0.21736842105263157,7966.335263157895,7921.335263157895,176.02967251461988,High
TW-123287,Critical,38.98,1.0,34900.666666666664,45.0,0.22,7678.1466666666665,7633.1466666666665,169.62548148148147,High
TW-142385,Critical,38.97,1.0,34117.33333333333,45.0,0.22,7505.813333333333,7460.813333333333,165.79585185185184,High
TW-115850,Critical,38.8,1.0,33106.66666666667,45.0,0.22,7283.466666666668,7238.466666666668,160.85481481481486,High
TW-120576,Critical,39.69,1.0,32503.000000000007,45.0,0.21333333333333335,6933.973333333335,6888.973333333335,153.08829629629633,High
TW-126781,Critical,38.15,1.0,30210.33333333333,45.0,0.22,6646.273333333333,6601.273333333333,146.69496296296296,High
TW-115714,Critical,38.69,1.0,30190.666666666668,45.0,0.2162962962962963,6530.12938271605,6485.12938271605,144.11398628257888,High
TW-134104,At Risk,40.16,1.0,39778.66666666666,20.0,0.16,6364.586666666665,6344.586666666665,317.2293333333333,High
TW-131812,Critical,38.46,1.0,29068.0,45.0,0.21655172413793103,6294.725517241379,6249.725517241379,138.88278927203064,High
TW-120261,Critical,38.29,1.0,28992.0,45.0,0.21666666666666667,6281.6,6236.6,138.59111111111113,High
TW-119439,Critical,37.48,1.0,28004.66666666667,45.0,0.22,6161.026666666668,6116.026666666668,135.91170370370372,High
TW-122277,At Risk,40.12,1.0,37842.0,20.0,0.15696969696969698,5940.047272727274,5920.047272727274,296.00236363636367,High
TW-132727,Critical,37.24,1.0,25955.0,45.0,0.22,5710.1,5665.1,125.89111111111112,High
TW-118392,Critical,36.98,1.0,25161.666666666668,45.0,0.22,5535.566666666667,5490.566666666667,122.0125925925926,High
TW-131820,Critical,36.94,1.0,24767.0,45.0,0.22,5448.74,5403.74,120.08311111111111,High
TW-143890,Critical,36.74,1.0,24200.0,45.0,0.22,5324.0,5279.0,117.31111111111112,High
TW-116136,Critical,36.42,1.0,23149.666666666668,45.0,0.22,5092.926666666667,5047.926666666667,112.17614814814816,High
TW-120648,Critical,37.61,1.0,23272.666666666664,45.0,0.212,4933.805333333333,4888.805333333333,108.6401185185185,High
TW-131279,Critical,36.14,1.0,21579.0,45.0,0.22,4747.38,4702.38,104.49733333333333,High
TW-130696,Critical,36.88,1.0,21865.0,45.0,0.21545454545454545,4710.913636363636,4665.913636363636,103.6869696969697,High
TW-117721,Critical,35.8,1.0,21193.666666666668,45.0,0.22,4662.606666666667,4617.606666666667,102.61348148148149,High
TW-133542,Critical,36.03,1.0,21189.0,45.0,0.22,4661.58,4616.58,102.59066666666666,High
TW-131476,Critical,35.97,1.0,20976.0,45.0,0.22,4614.72,4569.72,101.54933333333334,High
TW-144294,Critical,37.48,1.0,21651.666666666664,45.0,0.2109090909090909,4566.533333333333,4521.533333333333,100.47851851851851,High
TW-118505,Critical,36.47,1.0,21119.666666666668,45.0,0.21565217391304348,4554.502028985507,4509.502028985507,100.21115619967794,High
TW-147655,Critical,37.17,1.0,21353.66666666667,45.0,0.2123076923076923,4533.547692307693,4488.547692307693,99.7455042735043,High
TW-130654,Critical,37.18,1.0,21317.33333333333,45.0,0.2125925925925926,4531.907160493826,4486.907160493826,99.70904801097392,High
TW-146160,Critical,36.64,1.0,20943.33333333333,45.0,0.21523809523809523,4507.803174603173,4462.803174603173,99.17340388007051,High
TW-144362,Critical,35.76,1.0,20379.0,45.0,0.22,4483.38,4438.38,98.63066666666667,High
