customer_id,last_purchase,frequency,monetary_total,monetary_avg,recency_days,ticket_volume,resolution_time_avg,social_mentions_count,sentiment_mean,sentiment_min,sentiment_max,sentiment_recent_mean,sentiment_trend,avg_purchase_value,purchase_frequency,clv,churned
TW-11113,2017-11-02,1,28.8,28.8,3041,2,24.0,2,0.0,0.0,0.0,0.0,0.0,28.8,1,960.0000000000001,0
TW-115712,2017-11-01,7,325.54,46.50571428571429,3042,10,24.0,10,0.0,0.0,0.0,0.0,0.0,46.50571428571429,7,10851.333333333334,1
TW-115713,2017-11-01,5,144.24,28.848000000000003,3042,3,24.0,3,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,28.848000000000003,5,4808.000000000001,0
TW-115714,2017-11-22,12,905.72,75.47666666666667,3021,27,24.0,27,0.037037037037037,0.0,1.0,0.0666666666666666,0.0296296296296296,75.47666666666667,12,30190.666666666668,1
TW-115715,2017-11-01,2,56.43,28.215,3042,1,24.0,1,0.0,0.0,0.0,0.0,0.0,28.215,2,1881.0,0
TW-115716,2017-11-01,5,143.74,28.748,3042,5,24.0,5,0.0,0.0,0.0,0.0,0.0,28.748,5,4791.333333333334,0
TW-115717,2017-11-01,2,76.78,38.39,3042,1,24.0,1,0.0,0.0,0.0,0.0,0.0,38.39,2,2559.3333333333335,0
TW-115718,2017-11-01,4,122.5,30.625,3042,2,24.0,2,0.0,0.0,0.0,0.0,0.0,30.625,4,4083.3333333333335,0
TW-115719,2017-11-01,3,83.8,27.933333333333334,3042,2,24.0,2,0.0,0.0,0.0,0.0,0.0,27.933333333333334,3,2793.3333333333335,0
TW-115720,2017-11-01,2,60.99,30.495,3042,1,24.0,1,0.0,0.0,0.0,0.0,0.0,30.495,2,2033.0000000000002,0
TW-115721,2017-11-01,4,134.12,33.53,3042,5,24.0,5,0.0,0.0,0.0,0.0,0.0,33.53,4,4470.666666666667,0
TW-115722,2017-11-29,6,260.27,43.37833333333333,3014,13,24.0,13,-0.0769230769230769,-1.0,0.0,0.0,0.0769230769230769,43.37833333333333,6,8675.666666666666,1
