customer_id,date,amount,product,purchase_freq_hint
TW-11113,2017-11-02,28.8,Plus,0.712
TW-115712,2017-10-31,59.18,Core,0.773
TW-115712,2017-11-01,30.7,AddOn,0.478
TW-115712,2017-11-01,57.54,Plus,0.662
TW-115712,2017-10-31,41.3,AddOn,0.266
TW-115712,2017-10-31,28.54,Premium,0.836
TW-115712,2017-10-31,51.87,Premium,0.387
TW-115712,2017-10-31,56.41,AddOn,0.789
TW-115713,2017-10-31,31.04,Plus,0.197
TW-115713,2017-10-31,36.4,AddOn,0.969
TW-115713,2017-11-01,27.54,AddOn,0.496
TW-115713,2017-10-31,24.17,Plus,0.502
TW-115713,2017-10-31,25.09,Premium,0.465
TW-115714,2017-09-26,81.76,AddOn,0.347
TW-115714,2017-11-12,87.51,AddOn,0.418
TW-115714,2017-11-22,80.78,Plus,0.183
TW-115714,2017-11-17,43.64,Core,0.798
TW-115714,2017-11-13,82.03,Premium,0.792
TW-115714,2017-10-26,74.52,Plus,0.183
TW-115714,2017-10-02,80.01,Core,0.498
TW-115714,2017-11-18,85.32,Premium,0.653
TW-115714,2017-10-27,74.0,Premium,0.339
TW-115714,2017-10-30,67.26,Core,0.254
TW-115714,2017-10-05,90.18,Plus,0.272
TW-115714,2017-11-16,58.71,Core,0.329
TW-115715,2017-11-01,29.89,Premium,0.681
TW-115715,2017-11-01,26.54,Plus,0.209
TW-115716,2017-10-31,23.91,Core,0.736
TW-115716,2017-11-01,25.85,Plus,0.526
TW-115716,2017-11-01,40.46,Core,0.474
TW-115716,2017-10-31,29.68,Plus,0.649
TW-115716,2017-11-01,23.84,Plus,0.162
TW-115717,2017-11-01,37.72,Plus,0.303
TW-115717,2017-11-01,39.06,Plus,0.731
TW-115718,2017-11-01,24.88,Plus,0.142
TW-115718,2017-10-31,29.2,AddOn,0.242
TW-115718,2017-11-01,32.1,Plus,0.218
TW-115718,2017-10-31,36.32,AddOn,0.733
TW-115719,2017-10-31,33.23,Core,0.667
TW-115719,2017-11-01,20.47,AddOn,0.09
TW-115719,2017-10-31,30.1,Core,0.187
TW-115720,2017-11-01,30.57,Core,0.212
TW-115720,2017-10-31,30.42,AddOn,0.38
TW-115721,2017-11-01,22.07,Core,0.508
TW-115721,2017-11-01,42.82,Core,0.512
TW-115721,2017-10-31,34.85,Plus,0.593
TW-115721,2017-11-01,34.38,AddOn,0.365
TW-115722,2017-11-16,45.78,Premium,0.071
TW-115722,2017-11-10,62.87,AddOn,0.183
TW-115722,2017-11-09,33.43,Premium,0.689
TW-115722,2017-11-03,54.02,Plus,0.741
TW-115722,2017-11-28,33.4,AddOn,0.92
TW-115722,2017-11-29,30.77,Core,0.577
TW-115723,2017-10-31,44.1,Plus,0.351
TW-115723,2017-11-01,47.46,Premium,0.539
TW-115723,2017-10-31,28.44,AddOn,0.206
TW-115723,2017-11-01,22.68,Plus,0.993
TW-115724,2017-10-31,34.15,AddOn,0.896
TW-115724,2017-10-31,29.04,AddOn,0.35
TW-115725,2017-11-24,39.51,Plus,0.14
TW-115725,2017-11-12,41.84,Plus,0.94
TW-115727,2017-11-01,20.22,Core,0.84
TW-115727,2017-11-01,21.48,Core,0.619
TW-115728,2017-11-01,24.34,Plus,0.789
TW-115728,2017-10-31,43.55,Plus,0.187
TW-115728,2017-11-01,19.82,Core,0.175
TW-115728,2017-10-31,36.26,AddOn,0.531
TW-115729,2017-11-01,30.43,Premium,0.24
TW-115730,2017-11-01,33.41,Core,0.175
TW-115730,2017-11-01,20.24,Premium,0.428
TW-115730,2017-11-01,24.19,Core,0.68
TW-115730,2017-10-31,38.76,Premium,0.929
TW-115731,2017-10-31,31.54,Core,0.652
TW-115731,2017-11-01,21.78,Core,0.448
TW-115732,2017-11-01,30.76,Core,0.814
TW-115733,2017-10-31,34.96,Plus,0.067
TW-115733,2017-11-01,35.95,Core,0.807
TW-115733,2017-10-31,29.3,Core,0.626
TW-115733,2017-11-01,30.92,AddOn,0.442
TW-115734,2017-10-31,26.97,Core,0.874
TW-115735,2017-10-25,24.31,Plus,0.275
TW-115735,2017-10-31,37.69,Premium,0.15
TW-115735,2017-10-30,32.46,Core,0.189
TW-115736,2017-11-01,24.4,AddOn,0.925
